data,gender,universityType,courseAreaGeneral,courseName,parentsEducation,basicSchoolType,childhoodHobbiesTime,childhoodMainActivities,currentCourseDesired,currentCourseIdentification,familyInfluence,motivesOrder,societalContribution,financialReturn,financialReturnTime,courseAvailability,familyInCourseArea,futureProfessionalSelf,stemCareerInterest,stemCareerEverInterest,stemCareerDesistanceReason,schoolExactInterestByGender,preCollegeExactInterestLevel,familySchoolPerformanceValue,teacherPerformanceValue,scienceReference,admiredExactTeachersGender,lostInterestExactSciences,mainReasonLeavingSTEM,feltSTEMNotForMeEver,feelingExcludedTech,feelingExcludedExact,familyStudyIncentive,activityGenderRestriction,professionsByGenderOpinion,professionSuitabilityOpinion
02/09/2025 16:19:33,genero-feminino,undergraduate,sociais,Administração,superior-incompleto,publico-publico,sim-tempo-apoio,brincar-esportes,desde-medio,sim-parcialmente,sim-em-parte,"Influência de familiares (pais, responsáveis, parentes),Afinidade com a área / interesse pessoal pelos temas do curso,Indecisão: escolhi por não saber o que queria fazer",contribuicao-importante,alguma-influencia,retorno-demorado,falta-opcoes,primeiro-da-familia,3,3,nao-tenho-certeza,,meninos,nenhum-interesse,valorizava-muito,alguns-valorizavam,.,masculino,sim-perdi,dificuldade-conteudo,sim-ja-senti,4,4,4,4,2,2
02/09/2025 18:22:13,genero-feminino,undergraduate,sociais,Administração ,fundamental-incompleto,publico-publico,sim-tempo-apoio,estudar-por-conta,nao-primeira-opcao,sim-parcialmente,nao-baseado-no-que-queria,"Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.),Poucas opções disponíveis no momento da escolha,Expectativa de boa remuneração ou estabilidade financeira,Afinidade com a área / interesse pessoal pelos temas do curso,Indecisão: escolhi por não saber o que queria fazer,Influência de amigos(as) ou conhecidos(as) que também escolheram esse curso,Identificação com o tipo de profissional que atua na área,Influência de familiares (pais, responsáveis, parentes),Escolhi por já ter experiências anteriores (ex: curso técnico, estágio, trabalho),Pressão familiar para escolher determinada área",contribuicao-nao-importante,nao-influenciou,nao-influenciou,falta-opcoes,primeiro-da-familia,3,3,sim,falta-informacao,meninas,muito-interesse,valorizava-moderadamente,maioria-valorizava,"Sempre admirava os professores de exatas, tive vontade de começar um curso da área das ciências exatas, mas o destino me mostrou outros caminhos.",ambos,nao-perdi,nunca-afastado,nao-nunca-senti,4,1,5,2,1,1
02/09/2025 18:55:03,genero-masculino,undergraduate,exatas,Ciência da computação ,medio-completo,privado-publico,sim-tempo-apoio,"jogar-videogame,brincar-esportes",desde-fundamental,sim-parcialmente,nao-baseado-no-que-queria,"Expectativa de boa remuneração ou estabilidade financeira,Afinidade com a área / interesse pessoal pelos temas do curso,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.)",contribuicao-nao-importante,principal-fator,retorno-demorado,opcoes-limitadas,uma-pessoa-proxima,4,4,sim,dificuldade-exatas,meninos,muito-interesse,valorizava-eventualmente,alguns-valorizavam,. ,ambos,sim-perdi,dificuldade-conteudo,sim-ja-senti,4,3,5,4,3,4
02/09/2025 20:23:20,genero-feminino,undergraduate,sociais,Administração ,pos,privado-publico,as-vezes,"brincar-esportes,desenhar-pintar,jogar-videogame",depois-medio,sim-parcialmente,sim-principal-motivacao,"Identificação com o tipo de profissional que atua na área,Influência de familiares (pais, responsáveis, parentes),Afinidade com a área / interesse pessoal pelos temas do curso",nao-considero-importante,alguma-influencia,retorno-demorado,opcoes-limitadas,parentes-distantes,5,5,nao-tenho-certeza,,nao-diferenca,pouco-interesse,valorizava-moderadamente,tratavam-neutro,.,masculino,sim-perdi,dificuldade-conteudo,sim-ja-senti,3,3,4,2,2,2
03/09/2025 10:57:03,genero-feminino,graduate,biologicas,Terapia Ocupacional ,pos,privado-privado,sim-tempo-apoio,"ler-livros,brincar-esportes,jogar-videogame",nao-primeira-opcao,sim-completamente,nao-baseado-no-que-queria,Expectativa de boa remuneração ou estabilidade financeira,contribuicao-importante,principal-fator,retorno-demorado,opcoes-limitadas,primeiro-da-familia,1,1,nao,,meninos,nenhum-interesse,valorizava-moderadamente,poucos-valorizavam,.,masculino,sim-perdi,dificuldade-conteudo,sim-ja-senti,4,5,3,2,1,1
03/09/2025 11:09:35,genero-feminino,undergraduate,exatas,Engenharia de Produção ,superior-completo,publico-privado,sim-tempo-apoio,"brincar-esportes,jogar-videogame,ler-livros,desenhar-pintar,estudar-por-conta",nao-primeira-opcao,sim-completamente,nao-baseado-no-que-queria,"Identificação com o tipo de profissional que atua na área,Influência de amigos(as) ou conhecidos(as) que também escolheram esse curso",contribuicao-nao-importante,nao-pensei-sobre,retorno-demorado,nao-influenciou,uma-pessoa-proxima,5,5,sim,poucas-oportunidades,meninos,pouco-interesse,valorizava-moderadamente,maioria-valorizava,.,ambos,sim-perdi,dificuldade-conteudo,sim-ja-senti,3,2,4,2,1,1
03/09/2025 11:09:38,genero-masculino,undergraduate,exatas,Engenharia de Produção ,fundamental-completo,publico-publico,as-vezes,brincar-esportes,depois-medio,sim-completamente,nao-muito,"Afinidade com a área / interesse pessoal pelos temas do curso,Influência de amigos(as) ou conhecidos(as) que também escolheram esse curso,Expectativa de boa remuneração ou estabilidade financeira",contribuicao-importante,principal-fator,retorno-demorado,opcoes-limitadas,parentes-distantes,5,5,sim,nao-desisti,meninas,muito-interesse,valorizava-moderadamente,maioria-valorizava,.,feminino,nao-perdi,nunca-afastado,nao-nunca-senti,2,2,5,2,2,2
03/09/2025 15:55:25,genero-feminino,graduate,biologicas,Enfermagem ,fundamental-incompleto,publico-publico,raramente-responsabilidades,brincar-esportes,depois-medio,sim-parcialmente,nao-baseado-no-que-queria,"Afinidade com a área / interesse pessoal pelos temas do curso,Identificação com o tipo de profissional que atua na área,Expectativa de boa remuneração ou estabilidade financeira",contribuicao-nao-importante,alguma-influencia,nao-considerei,nao-influenciou,parentes-distantes,2,2,nao,,nao-diferenca,algum-interesse,valorizava-moderadamente,maioria-valorizava,. ,ambos,sim-perdi,nao-era-pra-mim,sim-ja-senti,2,3,3,3,1,3
05/09/2025 07:53:29,genero-feminino,undergraduate,exatas,Engenharia de Produção,pos,publico-publico,as-vezes,"jogar-videogame,estudar-por-conta",desde-medio,sim-parcialmente,nao-muito,"Afinidade com a área / interesse pessoal pelos temas do curso,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.),Indecisão: escolhi por não saber o que queria fazer",contribuicao-nao-importante,nao-pensei-sobre,nao-considerei,opcoes-limitadas,parentes-distantes,4,4,nao-tenho-certeza,,meninos,muito-interesse,valorizava-moderadamente,alguns-valorizavam,"Newton, Albert Einstein",feminino,sim-perdi,dificuldade-conteudo,sim-ja-senti,2,2,5,5,4,5
08/09/2025 08:26:43,genero-masculino,undergraduate,exatas,Ciência da Computação,superior-completo,publico-publico,sim-tempo-apoio,"brincar-esportes,ler-livros,jogar-videogame",depois-medio,sim-parcialmente,sim-principal-motivacao,"Influência de familiares (pais, responsáveis, parentes),Afinidade com a área / interesse pessoal pelos temas do curso,Identificação com o tipo de profissional que atua na área",contribuicao-nao-importante,alguma-influencia,retorno-demorado,opcoes-limitadas,parentes-distantes,5,5,sim,nao-desisti,meninos,algum-interesse,valorizava-muito,maioria-valorizava,Sílvio Meira,masculino,sim-perdi,dificuldade-conteudo,sim-ja-senti,2,2,4,2,1,4
08/09/2025 12:55:08,genero-masculino,undergraduate,exatas,Ciência da Computação,doutorado,privado-publico,as-vezes,"brincar-esportes,jogar-videogame",depois-medio,sim-parcialmente,sim-em-parte,"Afinidade com a área / interesse pessoal pelos temas do curso,Identificação com o tipo de profissional que atua na área,Influência de amigos(as) ou conhecidos(as) que também escolheram esse curso",contribuicao-nao-importante,alguma-influencia,nao-influenciou,opcoes-limitadas,primeiro-da-familia,5,5,sim,nao-desisti,meninos,muito-interesse,valorizava-moderadamente,tratavam-neutro,.,masculino,sim-perdi,dificuldade-conteudo,nao-nunca-senti,2,4,4,2,1,1
09/09/2025 08:23:29,genero-feminino,undergraduate,exatas,Engenharia de produção ,none,publico-publico,as-vezes,estudar-por-conta,desde-medio,sim-completamente,nao-muito,"Identificação com o tipo de profissional que atua na área,Expectativa de boa remuneração ou estabilidade financeira,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.)",contribuicao-importante,alguma-influencia,retorno-demorado,opcoes-limitadas,primeiro-da-familia,4,4,nao,,nao-diferenca,muito-interesse,valorizava-muito,maioria-valorizava,Não lembro.,feminino,sim-perdi,falta-apoio-familiar,sim-ja-senti,4,2,4,2,2,2
09/09/2025 08:23:44,genero-feminino,undergraduate,exatas,Engenharia de produção ,doutorado,privado-privado,sim-tempo-apoio,"brincar-esportes,desenhar-pintar,jogar-videogame",desde-medio,sim-completamente,sim-em-parte,"Afinidade com a área / interesse pessoal pelos temas do curso,Expectativa de boa remuneração ou estabilidade financeira,Influência de familiares (pais, responsáveis, parentes)",contribuicao-importante,alguma-influencia,nao-influenciou,nao-influenciou,mais-de-uma-pessoa,5,5,sim,nao-desisti,nao-diferenca,muito-interesse,valorizava-muito,alguns-valorizavam,Meu pai ,feminino,nao-perdi,nunca-afastado,nao-nunca-senti,3,2,1,2,1,5
09/09/2025 08:24:05,genero-masculino,undergraduate,exatas,Ciências da Computação ,superior-incompleto,publico-publico,as-vezes,"ler-livros,jogar-videogame,desenhar-pintar",depois-medio,sim-completamente,nao-muito,"Afinidade com a área / interesse pessoal pelos temas do curso,Expectativa de boa remuneração ou estabilidade financeira,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.)",nao-considero-importante,alguma-influencia,retorno-demorado,opcoes-limitadas,primeiro-da-familia,4,4,sim,nao-desisti,meninos,muito-interesse,valorizava-muito,maioria-valorizava,Grace Hooper ,ambos,sim-perdi,dificuldade-conteudo,sim-ja-senti,2,2,4,2,4,2
09/09/2025 08:27:19,genero-masculino,undergraduate,exatas,Ciência da Computação ,medio-completo,publico-publico,as-vezes,"brincar-esportes,jogar-videogame,desenhar-pintar,programar-montar",depois-medio,sim-parcialmente,sim-em-parte,"Afinidade com a área / interesse pessoal pelos temas do curso,Influência de familiares (pais, responsáveis, parentes),Expectativa de boa remuneração ou estabilidade financeira,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.),Pressão familiar para escolher determinada área",contribuicao-nao-importante,alguma-influencia,retorno-demorado,opcoes-limitadas,parentes-distantes,5,5,sim,dificuldade-exatas,meninos,pouco-interesse,valorizava-moderadamente,poucos-valorizavam,.,nenhum,sim-perdi,dificuldade-conteudo,sim-ja-senti,1,4,5,2,4,4
